date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:17	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2015:11:16%20GMT	https://turnerdairy.net/robots.txt		(from )
20:41:18	225616/225616	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2015:11:16%20GMT	https://turnerdairy.net/	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/index.html	(from )
20:41:18	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262c2d8bd-15b64%22	https://turnerdairy.net/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-includes/css/dist/block-library/style.min5b21.css	(from https://turnerdairy.net/)
20:41:19	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%22622ab00b-b97%22	https://turnerdairy.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.6.0	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-styleaf6c.css	(from https://turnerdairy.net/)
20:41:19	164668/164668	---MCZ	200	added ('OK')	text/css	etag:W/%22622ab00b-2833c%22	https://turnerdairy.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.6.0	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/styleaf6c.css	(from https://turnerdairy.net/)
20:41:20	1746/1746	---MCZ	200	added ('OK')	text/css	etag:W/%225ee0f921-6d2%22	https://turnerdairy.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.9	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/contact-form-7/includes/css/styles38c6.css	(from https://turnerdairy.net/)
20:41:20	846/846	---MCZ	200	added ('OK')	text/css	etag:W/%2261d1fc30-34e%22	https://turnerdairy.net/wp-content/plugins/multiline-files-for-contact-form-7/css/style.css?12&ver=6.0.2	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/multiline-files-for-contact-form-7/css/style23fc.css	(from https://turnerdairy.net/)
20:41:20	17639/17639	---MCZ	200	added ('OK')	text/css	etag:W/%22622ab00b-44e7%22	https://turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.7.4	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce-layout125b.css	(from https://turnerdairy.net/)
20:41:21	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%22622ab00b-1a66%22	https://turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.7.4	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen125b.css	(from https://turnerdairy.net/)
20:41:21	62511/62511	---MCZ	200	added ('OK')	text/css	etag:W/%22622ab00b-f42f%22	https://turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.7.4	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce/assets/css/woocommerce125b.css	(from https://turnerdairy.net/)
20:41:22	152130/152130	---MCZ	200	added ('OK')	text/css	etag:W/%2262c5c025-25242%22	https://turnerdairy.net/wp-content/themes/turners-dairy/style.css?ver=6.0.2	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/themes/turners-dairy/style5b21.css	(from https://turnerdairy.net/)
20:41:22	1599/1599	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d124b-63f%22	https://turnerdairy.net/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/woocommerce.css?ver=5.13.3	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/woocommercea4b3.css	(from https://turnerdairy.net/)
20:41:23	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/dell/Desktop/barath/agri8/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://turnerdairy.net/)
20:41:23	3402/3402	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d1fc30-d4a%22	https://turnerdairy.net/wp-content/plugins/multiline-files-for-contact-form-7/js/zl-multine-files.js?ver=6.0.2	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/plugins/multiline-files-for-contact-form-7/js/zl-multine-files5b21.js	(from https://turnerdairy.net/)
20:41:25	3670/3670	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2015:11:24%20GMT	https://turnerdairy.net/wp-json/wp/v2/pages/5	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-json/wp/v2/pages/5.json	(from https://turnerdairy.net/)
20:41:25	1020451/1020451	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2015:11:24%20GMT	https://turnerdairy.net/wp-json/	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-json/index.html	(from https://turnerdairy.net/)
20:41:26	804/804	---MCZ	200	added ('OK')	text/xml	date:Thu,%2027%20Oct%202022%2015:11:26%20GMT	https://turnerdairy.net/xmlrpc.php?rsd	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/xmlrpc0db0.php	(from https://turnerdairy.net/)
20:41:27	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://turnerdairy.net/wp-includes/wlwmanifest.xml	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-includes/wlwmanifest.xml	(from https://turnerdairy.net/)
20:41:28	2378/2378	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2015:11:27%20GMT	https://turnerdairy.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fturnerdairy.net%2F	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-json/oembed/1.0/embed3e18.json	(from https://turnerdairy.net/)
20:41:29	2450/2450	---MCZ	200	added ('OK')	text/xml	date:Thu,%2027%20Oct%202022%2015:11:28%20GMT	https://turnerdairy.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fturnerdairy.net%2F&format=xml	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-json/oembed/1.0/embed0a95	(from https://turnerdairy.net/)
20:41:29	15749/15749	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2015:11:29%20GMT	https://use.typekit.net/koe2bce.css	C:/Users/dell/Desktop/barath/agri8/use.typekit.net/koe2bce.css	(from https://turnerdairy.net/)
20:41:30	104228/104228	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Oct%202022%2015:11:29%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/dell/Desktop/barath/agri8/connect.facebook.net/en_US/fbevents.js	(from https://turnerdairy.net/)
20:41:31	9518/9518	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d128c19-252e%22	https://turnerdairy.net/wp-content/uploads/2019/06/logo.svg	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/uploads/2019/06/logo.svg	(from https://turnerdairy.net/)
20:41:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:11:31%20GMT	https://turnerdairy.net/the-shop	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/the-shop	(from https://turnerdairy.net/)
20:41:33	56038/56038	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2015:11:31%20GMT	https://turnerdairy.net/the-shop/	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/the-shop/index.html	(from https://turnerdairy.net/)
20:41:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2015:11:32%20GMT	https://turnerdairy.net/careers	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/careers	(from https://turnerdairy.net/)
20:41:35	52302/52302	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2015:11:34%20GMT	https://turnerdairy.net/careers/	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/careers/index.html	(from https://turnerdairy.net/)
20:41:36	386099/386099	---M--	200	added ('OK')	image/png	etag:%225d128c16-5e433%22	https://turnerdairy.net/wp-content/uploads/2019/06/hero-milk-1.png	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/uploads/2019/06/hero-milk-1.png	(from https://turnerdairy.net/)
20:41:37	29864/29864	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d71480c-74a8%22	https://turnerdairy.net/wp-content/themes/turners-dairy/assets/images/pa_seal.svg	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/themes/turners-dairy/assets/images/pa_seal.svg	(from https://turnerdairy.net/)
20:41:38	530493/530493	---M--	200	added ('OK')	image/png	etag:%225d128c16-8183d%22	https://turnerdairy.net/wp-content/uploads/2019/06/hero-tea-1.png	C:/Users/dell/Desktop/barath/agri8/turnerdairy.net/wp-content/uploads/2019/06/hero-tea-1.png	(from https://turnerdairy.net/)
